2021-09-15 01:18:26,814 INFO redisconnect [JobManagement-2] Refreshing Heartbeat signal for : hb-jobManager , with value : jobType1-JM-4161@Joses-MacBook-Pro.local , expiry : 30000
2021-09-15 01:18:30,523 INFO redisconnect [JobManagement-1] Refreshing Heartbeat signal for : hb-job:amlcases-postgres , with value : JC-4161@Joses-MacBook-Pro.local , expiry : 30000
2021-09-15 03:18:38,150 INFO redisconnect [JobManagement-1] Refreshing Heartbeat signal for : hb-jobManager , with value : jobType1-JM-4161@Joses-MacBook-Pro.local , expiry : 30000
2021-09-15 04:58:59,477 INFO redisconnect [JobManagement-2] Refreshing Heartbeat signal for : hb-job:amlcases-postgres , with value : JC-4161@Joses-MacBook-Pro.local , expiry : 30000
2021-09-15 04:59:09,255 INFO redisconnect [JobManagement-1] Refreshing Heartbeat signal for : hb-jobManager , with value : jobType1-JM-4161@Joses-MacBook-Pro.local , expiry : 30000
2021-09-15 04:59:12,969 INFO redisconnect [JobManagement-2] Refreshing Heartbeat signal for : hb-job:amlcases-postgres , with value : JC-4161@Joses-MacBook-Pro.local , expiry : 30000
2021-09-15 04:59:22,743 INFO redisconnect [JobManagement-1] Refreshing Heartbeat signal for : hb-jobManager , with value : jobType1-JM-4161@Joses-MacBook-Pro.local , expiry : 30000
2021-09-15 09:41:49,952 INFO redisconnect [JobManagement-2] Refreshing Heartbeat signal for : hb-job:amlcases-postgres , with value : JC-4161@Joses-MacBook-Pro.local , expiry : 30000
2021-09-15 09:41:58,277 INFO redisconnect [JobManagement-1] Refreshing Heartbeat signal for : hb-jobManager , with value : jobType1-JM-4161@Joses-MacBook-Pro.local , expiry : 30000
2021-09-15 09:42:01,991 INFO redisconnect [JobManagement-2] Refreshing Heartbeat signal for : hb-job:amlcases-postgres , with value : JC-4161@Joses-MacBook-Pro.local , expiry : 30000
2021-09-15 09:42:11,776 INFO redisconnect [JobManagement-2] Refreshing Heartbeat signal for : hb-jobManager , with value : jobType1-JM-4161@Joses-MacBook-Pro.local , expiry : 30000
2021-09-15 09:42:15,495 INFO redisconnect [JobManagement-1] Refreshing Heartbeat signal for : hb-job:amlcases-postgres , with value : JC-4161@Joses-MacBook-Pro.local , expiry : 30000
2021-09-15 09:42:25,280 INFO redisconnect [JobManagement-2] Refreshing Heartbeat signal for : hb-jobManager , with value : jobType1-JM-4161@Joses-MacBook-Pro.local , expiry : 30000
2021-09-15 09:42:28,992 INFO redisconnect [JobManagement-2] Refreshing Heartbeat signal for : hb-job:amlcases-postgres , with value : JC-4161@Joses-MacBook-Pro.local , expiry : 30000
2021-09-15 09:42:38,777 INFO redisconnect [JobManagement-1] Refreshing Heartbeat signal for : hb-jobManager , with value : jobType1-JM-4161@Joses-MacBook-Pro.local , expiry : 30000
2021-09-15 09:42:42,495 INFO redisconnect [JobManagement-2] Refreshing Heartbeat signal for : hb-job:amlcases-postgres , with value : JC-4161@Joses-MacBook-Pro.local , expiry : 30000
2021-09-15 09:42:52,280 INFO redisconnect [JobManagement-2] Refreshing Heartbeat signal for : hb-jobManager , with value : jobType1-JM-4161@Joses-MacBook-Pro.local , expiry : 30000
2021-09-15 09:42:55,990 INFO redisconnect [JobManagement-2] Refreshing Heartbeat signal for : hb-job:amlcases-postgres , with value : JC-4161@Joses-MacBook-Pro.local , expiry : 30000
2021-09-15 09:43:05,777 INFO redisconnect [JobManagement-1] Refreshing Heartbeat signal for : hb-jobManager , with value : jobType1-JM-4161@Joses-MacBook-Pro.local , expiry : 30000
2021-09-15 09:43:09,494 INFO redisconnect [JobManagement-2] Refreshing Heartbeat signal for : hb-job:amlcases-postgres , with value : JC-4161@Joses-MacBook-Pro.local , expiry : 30000
2021-09-15 09:43:19,276 INFO redisconnect [JobManagement-1] Refreshing Heartbeat signal for : hb-jobManager , with value : jobType1-JM-4161@Joses-MacBook-Pro.local , expiry : 30000
